company_name,contact_name,designation,phone,email,website,address,industry,source,notes
Jacob Scientifics - Head Office,,,+91 44 2258 4161;+91 44 2258 4162,js@jacobscientifics.com,http://www.jacobscientifics.com,"5/389, Madipakkam Main Road, Chennai, 600091",Real Estate / Construction,OpenStreetMap,"osm/node/8669165872 | Chennai, TN"
Rits and Associates Chartered Accountants,,,49526946,ritsca2016@gmail.com,http://www.ritsca.com,"A1, Anna Nagar 2nd Avenue, Chennai, 600102",Real Estate / Construction,OpenStreetMap,"osm/node/8882544817 | Chennai, TN"
Shastra Cards Private Limited,,,091763 33222,,http://www.shastracards.com/,"4, Bazullah Road, T. Nagar, Chennai, 600017",Real Estate / Construction,OpenStreetMap,"osm/node/8967676339 | Chennai, TN"
Valeo India Private Limited,,,+91-44-7102 7300,,https://www.valeo.com,"63-1, CeeDeeYes IT Park, Rajiv Gandhi Salai, Chennai",Real Estate / Construction,OpenStreetMap,"osm/node/9591525122 | Chennai, TN"
Food Ingredient Specialities Private Limited,,,+91 04426531336,foodin@dataone.in,,"No. 90, Vanagaram - Ambattur Road, Ayanambakkam, Chennai, 600095",Real Estate / Construction,OpenStreetMap,"osm/node/10782259572 | Chennai, TN"
Full Creative,,,04442666652,,https://full.io/,"Floor 1, Ascendas Phase 1 ( Pinnacale ), International Tech Park, Ascendas, Phase 1, 1st Floor, Pinnacle Building, CSIR Rd, Tharamani, Chennai, 600113",Real Estate / Construction,OpenStreetMap,"osm/node/12758298442 | Chennai, TN"
ZeQube Technologies,,,09600112861,support@zeqube.com,http://zeqube.com,"185, 1st Main Road, Chennai, 600096",Real Estate / Construction,OpenStreetMap,"osm/node/12841106501 | Chennai, TN"
Laptop Spa,,,04443523331,,,"244/2b, Anna Nagar West Extension, Chennai, 600101",Real Estate / Construction,OpenStreetMap,"osm/node/12841106502 | Chennai, TN"
Sutherland Global Services,,,+91-98406 75144,,https://www.sutherlandglobal.com/,"Grand Southern Trunk Road, Chennai",Real Estate / Construction,OpenStreetMap,"osm/node/13011503802 | Chennai, TN"
LeBlanc Interior,,,+918072630833,,https://www.leblancinterior.com/,"5/80A, Ponni Amman Koil Main Rd, Chennai, 600129",Real Estate / Construction,OpenStreetMap,"osm/node/13068327311 | Chennai, TN"
WidEva Systems Pvt Ltd,,,+91 9176267976,,https://www.wideva.com,"76, Bazaar Street, Kunrathur, Chennai, 600069",Real Estate / Construction,OpenStreetMap,"osm/way/838222715 | Chennai, TN"
"J&F India Private Limited, Radiance Towers",,,+914449004800,,https://www.jf.ag/en,"3rd Floor, Old No.110, New No.111,, 33 Feet Road, Anna Salai, Guindy, Chennai, 600032",Real Estate / Construction,OpenStreetMap,"osm/way/993020295 | Chennai, TN"
Iss relocations,,,+91 44 4203 1882;+91 98848 27496;+971 4 234 8100,India@iss-relocations.com,https://iss-relocations.com/,Chennai,Logistics / Transport,OpenStreetMap,"osm/node/11042181462 | Chennai, TN"
Visionation Property Care,,,044 6555 6333,info@visionation.in,https://www.visionation.in/,"77, Montieth Road, Egmore, 600008",Real Estate / Construction,OpenStreetMap,"osm/node/2564083944 | Chennai, TN"
Sree Vinayaga Builders,,,9840224047,,,"4/7, Sree Vinayaga flats, 27th Street, Chennai, 600061",Real Estate / Construction,OpenStreetMap,"osm/node/11124692769 | Chennai, TN"
Dura Housing,,,+919444939804,,https://durahousing.com,"S1, Second Floor, Dura Complex, 106/4B, A. N. Elumalai Salai, Iyyapanthangal, Chennai, 600056",Real Estate / Construction,OpenStreetMap,"osm/node/12892124996 | Chennai, TN"
Roots Industries India Ltd,,,+914224330330,,https://www.rootsindia.com/,"Sanganur Road, Coimbatore, 641006",Manufacturing / Textile,OpenStreetMap,"osm/way/252108247 | Coimbatore, TN"
SriVaru Motors (SVM),,,+91-8098202030,,http://srivarumotors.com/,"224/2, Nagaiyan Thottam Road, Kannampalayam, 641402",Manufacturing / Textile,OpenStreetMap,"osm/way/1137969362 | Coimbatore, TN"
Kasadara Technology Solutions Pvt Ltd,,,+91994467585,info@kasadaratech.com,https://www.kasadara.com,"25, Avinashi Road, Coimbatore, 641014",Logistics / Transport,OpenStreetMap,"osm/node/9881512548 | Coimbatore, TN"
RVS Land Surveyors,,,04224212672,helpdesk@rvsls.com,https://www.rvslandsurveyors.com/,"29 Palani Illam, Sundaram Brothers Layout, Coimbatore, 641045",Logistics / Transport,OpenStreetMap,"osm/node/10981917436 | Coimbatore, TN"
Sanrad Infotech,,,08848752625;08848712625;08590752625;04223570334;04223510842,mail@sanradinfotech.com,https://sanradinfotech.com,"No.80/11 & 12, Arts College Road, Coimbatore, 641044",Logistics / Transport,OpenStreetMap,"osm/node/13564896001 | Coimbatore, TN"
Bannari Amman Sugars Limitted,,,+91 422 2302277,bascbe@bannari.com,http://www.bannari.com/sugar.html,"1212, Tiruchi Road, Coimbatore, 641018",Logistics / Transport,OpenStreetMap,"osm/way/510960941 | Coimbatore, TN"
Exowide,,,+91422 4973690,info@exowide.com,http://exowide.com,"227/1, NSR Road, coimbatore, 641011",Logistics / Transport,OpenStreetMap,"osm/way/1241449648 | Coimbatore, TN"
BM Hospital,,,044-22670277,,https://bmhospitals.com/,"5th Main Road, Chennai",Pharma / Healthcare,OpenStreetMap,"osm/node/310910945 | Chennai, TN"
MIOT International,,,044 4200 2288,enq@miothospitals.com,https://www.miotinternational.com/,"4/112, Mount Poonamalle High Rd, Sathya Nagar, Manapakkam, Chennai, Tamil Nadu 600089, Chennai, 600089",Pharma / Healthcare,OpenStreetMap,"osm/node/364650995 | Chennai, TN"
Rajan Eye Care Hospital,,,2834 0500/0300,rajaneye@vsnl.com,https://rajaneyecare.com/,"5, Vidyodaya 2nd Cross Street, Chennai, 600017",Pharma / Healthcare,OpenStreetMap,"osm/node/1152858038 | Chennai, TN"
Dr. S. G. Rajarathinam Hospital,,,+914222236730,,https://dr-sg-rajarathnam-hospital.business.site/,"Coimbatore, 641009",Pharma / Healthcare,OpenStreetMap,"osm/node/330070077 | Coimbatore, TN"
Karpagam Faculty Of Medical Sciences And Research,,,"0422-6464433, 6452888",,https://kfmsr.in/,"Karpagam College Road, Othakkalmandapam, Coimbatore, 641032",Pharma / Healthcare,OpenStreetMap,"osm/node/4285718048 | Coimbatore, TN"
Aravind Eye Hospital (City Centre),,,91-422-2540400,,,"Cowley Brown Rd, Coimbatore, 641002",Pharma / Healthcare,OpenStreetMap,"osm/node/4315800697 | Coimbatore, TN"
"Sri Lakshmi Hospital, Coimbatore",,,+914222644133,,https://www.smch.in/,"Coimbatore, 641027",Pharma / Healthcare,OpenStreetMap,"osm/node/4426171975 | Coimbatore, TN"
Eye Trust Hospital,,,0422-4366927,,,"80, Sivananda Colony Main Road, Coimbatore, 641012",Pharma / Healthcare,OpenStreetMap,"osm/node/5774631561 | Coimbatore, TN"
KG Hospital Blood Bank,,,04222212121; 04222212129,,,"Coimbatore, 641018",Pharma / Healthcare,OpenStreetMap,"osm/node/6886497248 | Coimbatore, TN"
PSG Hospital Blood Bank,,,4222570170,pathology@psgimsr.ac.in,https://www.psghospitals.com/,"Coimbatore, 641004",Pharma / Healthcare,OpenStreetMap,"osm/node/6886497264 | Coimbatore, TN"
Clarity Imaging Centre,,,+91-422-2234848,claritymri@gmail.com,clarityimaging.net,"78, Gokale Street, Coimbatore",Pharma / Healthcare,OpenStreetMap,"osm/node/4185045390 | Coimbatore, TN"
Microbiological Laboratory,,,+91-422-4342018,,https://microlabindia.com/,"1, Maruthamalai Road, Coimbatore",Pharma / Healthcare,OpenStreetMap,"osm/node/4203547389 | Coimbatore, TN"
Acupuncture Home,,,9894728979,sreerasa@gmail.com,,"1/150, Nachi Angannan Thevar Street, Coimbatore, 641045",Pharma / Healthcare,OpenStreetMap,"osm/node/4338438493 | Coimbatore, TN"
S.M. Motors,,,98411 39434,,,"No. 6/13, S.V. Chidambaram Salai, Jafferkhanpet, Ashok Nagar, Pari Nagar, Saidapet, Chennai, Tamil Nadu 600083, Chennai",Automobile,OpenStreetMap,"osm/node/8108595061 | Chennai, TN"
Sakthi Cars,,,+91 99419 89222,,https://www.sakthicars.com,"265/3, Inner Ring Road, Chennai, 600091",Automobile,OpenStreetMap,"osm/node/8653966784 | Chennai, TN"
Mercedes-Benz Titanium Motors,,,08190810000,,https://www.titaniummotors.mercedes-benz.co.in/,"199, Anna Salai (Mount Road), Chennai, 600002",Automobile,OpenStreetMap,"osm/node/10269875505 | Chennai, TN"
Circuits 99,,,09626196261,,https://www.circuits99.co.in/,"24, Besant Avenue Road, Chennai, 600020",Automobile,OpenStreetMap,"osm/node/10296780878 | Chennai, TN"
Praanav Cars,,,+91 81442 88818;+91 98845 50046;+91 91767 13740,,,Chennai,Automobile,OpenStreetMap,"osm/way/926299900 | Chennai, TN"
Capital Honda,,,+919884090001,,https://www.capitalhonda.in/,"18, Grand Southern Trunk Road, Meenambakkam, Chennai, 600027",Automobile,OpenStreetMap,"osm/way/1169590846 | Chennai, TN"
Qmax Test Equipments Private Limited,,,+91 44 24509627,,https://www.qmaxtest.com/,"6, Elcot Avenue, Sholinganallur, Chennai, 600119",Media / Events,OpenStreetMap,"osm/node/3704226008 | Chennai, TN"
King marine services,,,04442077979,kingmarine2011@gmail.com,,"80/72, Moore Street, Chennai, 600001",Media / Events,OpenStreetMap,"osm/node/4415983490 | Chennai, TN"
Ramani Nissan,,,+ 91 - 422 - 2668941,service@ramaninissan.co.in,,"176/2,, Sathyamangalam Road, Saravanampatty,Coimbatore, Coimbatore, -641 035",Automobile,OpenStreetMap,"osm/way/133738080 | Coimbatore, TN"
Leo Packers and Movers Coimbatore,,,91 08088001122,info@leopackersandmovers.com,https://leopackersandmovers.com,"1/438 Avinashi Road, Chinniyampalyam(PO), Coimbatore - 641062, Tamil Nadu, Coimbatore",Media / Events,OpenStreetMap,"osm/node/10072873828 | Coimbatore, TN"
