company_name,contact_name,designation,phone,email,website,address,industry,source,notes
G P Strategies,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/12153386392 | Chennai, TN"
AtoS Syntel,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/way/129081717 | Chennai, TN"
Siri Towers,,,,,,"Fourrts Avenue, Thuraipakkam, Chennai, 600096",IT / Tech,OpenStreetMap,"osm/way/319255277 | Chennai, TN"
Drona Systems,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/way/355048143 | Chennai, TN"
PayPal,,,,,,"334, Rajiv Gandhi Salai, Chennai",IT / Tech,OpenStreetMap,"osm/way/355100244 | Chennai, TN"
Cognizant Technology Solutions,,,,,,"Elcot SEZ, Chennai City Corporation Limits, 600119",IT / Tech,OpenStreetMap,"osm/way/468136482 | Chennai, TN"
HTC Global Servicces,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/way/469253617 | Chennai, TN"
Indus Teqsite (Data Patterns),,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/way/699889519 | Chennai, TN"
Prince Info City I,,,,,,"286/1 & 286/2, Old Mahabalipuram Road, Kandanchavadi, Chennai, 600096",IT / Tech,OpenStreetMap,"osm/way/767761372 | Chennai, TN"
Wipro CDC3,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/365983844 | Chennai, TN"
iGATE,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/365983846 | Chennai, TN"
Wipro CDC1,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/365983847 | Chennai, TN"
Mylapore Telephone Exchange,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/415650790 | Chennai, TN"
Wheels India Limited,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/1664155551 | Chennai, TN"
Brakes India Limited,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/1664155552 | Chennai, TN"
Sundaram Clayton,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/1664155553 | Chennai, TN"
Lucas TVS Limited,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/1917378397 | Chennai, TN"
Sundaram Brake Lining,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/1917378398 | Chennai, TN"
Sundaram Towers,,,,,,"46, Whites Road, Chennai, 600014",IT / Tech,OpenStreetMap,"osm/node/1975496394 | Chennai, TN"
Sundaram Fasteners,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/1977806954 | Chennai, TN"
Eloka Enterprises Private Limited,,,,,https://eloka.net/,"33, Padmanabha Nagar 5th Street, Chennai, 600020",IT / Tech,OpenStreetMap,"osm/node/2989205003 | Chennai, TN"
Eureka Associates,,,,,http://www.eurekaassociates.in/,"13/5, Chandradevanesan Street, Chennai, 600045",IT / Tech,OpenStreetMap,"osm/node/3032399574 | Chennai, TN"
LMS India Engg. Solutions Pvt. Ltd,,,,,,"20, Kannadasan Road, Chennai, 600017",IT / Tech,OpenStreetMap,"osm/node/3182651397 | Chennai, TN"
Chennaicommercials,,,,,,"64, South Usman Road, Chennai, 600017",IT / Tech,OpenStreetMap,"osm/node/3221523274 | Chennai, TN"
Intellect court,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/3385582361 | Chennai, TN"
Polaris software labs,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/3385585585 | Chennai, TN"
WizDemy Software Private Limited,,,,,,"770, 48th Cross St Valmiki Nagar, Thiruvalluvar Nagar, Thiruvanmiyur, Chennai, 600041",IT / Tech,OpenStreetMap,"osm/node/3686670072 | Chennai, TN"
Fayola Towers,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/3883257762 | Chennai, TN"
Adyog Software Solutions Pvt Ltd.,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/3883296157 | Chennai, TN"
Sri gokulam chit funds,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/4036545343 | Chennai, TN"
Versutus Management Service Private ltd,,,,,https://www.versutus.com/,"235/10, Kutchery Road, Chennai, 600004",IT / Tech,OpenStreetMap,"osm/node/4258398875 | Chennai, TN"
EMPEE GROUP OF COMPANY,,,,,,"Adithanar Road, Chennai",IT / Tech,OpenStreetMap,"osm/node/4308319901 | Chennai, TN"
Group10 Technologies Pvt Ltd,,,,,,"28, Vigneshwara Street, Chennai",IT / Tech,OpenStreetMap,"osm/node/4992173836 | Chennai, TN"
Tata Communications Ltd.,,,,,,"No.7/41, Mount Poonamalle High Rd, Nandambakkam, Nandambakkam Bridge, Chennai, 600089",IT / Tech,OpenStreetMap,"osm/node/5242847354 | Chennai, TN"
Aspire Systems,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/5304170562 | Chennai, TN"
ETA Techno Park,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/5304607220 | Chennai, TN"
Trail cloud innovation services Pvt.Ltd,,,,,https://www.trail.do/,"187/188, Thiruvalluvar salai, Chennai",IT / Tech,OpenStreetMap,"osm/node/5372430634 | Chennai, TN"
Gold Coast It solutions,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/5662608324 | Chennai, TN"
Chennai Two Software Park,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/5802035255 | Chennai, TN"
CodeMyCompany,,,,,https://www.codemycompany.com/,"Plot No. 34, City Limits Road, Chennai",IT / Tech,OpenStreetMap,"osm/node/5860420712 | Chennai, TN"
GeoConcept India,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/6002033613 | Chennai, TN"
Mangaldeep Puja Agarbathis,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/6057945754 | Chennai, TN"
Hcl amb 6,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/6141721985 | Chennai, TN"
Parveen travels,,,,,,"Grand Southern Trunk Road, Chennai, 600063",IT / Tech,OpenStreetMap,"osm/node/6172396485 | Chennai, TN"
McKinsey & Company Chennai Service Center,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/6535119492 | Chennai, TN"
Ashok LCD service,,,,,,"Wallers Road, Chennai",IT / Tech,OpenStreetMap,"osm/node/6739258988 | Chennai, TN"
Rmade Technologies,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/7088458506 | Chennai, TN"
Tata consultancy services,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/7136003588 | Chennai, TN"
Edufic Digital,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/7261455965 | Chennai, TN"
Voltas Aerocool,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/7267104203 | Chennai, TN"
Shri Vinayaka Impex,,,,vinayakarkb@gmail.com,,"19/20, Dr Thirumurthy Nagar 5th Street, Chennai, 600034",IT / Tech,OpenStreetMap,"osm/node/7271385932 | Chennai, TN"
Roanuz Softwares,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/7572041375 | Chennai, TN"
Sri Lakshmi Agro,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/8430636718 | Chennai, TN"
Zupersoft Solution PVT Ltd,,,,,https://zuper.co/,"SKCL Harmony Square, Prakasam Street, Gangai Karai Puram, T. Nagar, Chennai, 600017",IT / Tech,OpenStreetMap,"osm/node/8666382807 | Chennai, TN"
SARF Communications,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/9345560480 | Chennai, TN"
IPCS Automation,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/9345560481 | Chennai, TN"
Maaya Systems,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/9348174750 | Chennai, TN"
Helxyon Healthcare,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/9378509592 | Chennai, TN"
Nexus Interiors,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/9378879817 | Chennai, TN"
VFS Global Services Pvt. Ltd.,,,,,,"74, Ethiraj Salai, Chennai, 600008",IT / Tech,OpenStreetMap,"osm/node/9436487461 | Chennai, TN"
Saama Technologies pvt. Ltd,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/9565908906 | Chennai, TN"
Trimble Information Technologies India Pvt Ltd,,,,,https://www.trimble.com/en/,Chennai,IT / Tech,OpenStreetMap,"osm/node/9768615294 | Chennai, TN"
Novac Technology Solutions,,,,,https://www.novactech.in/,"Office 275, Statesman One, Ramakrishna Mutt Rd, Mylapore,Chennai, 600004",IT / Tech,OpenStreetMap,"osm/node/10161910232 | Chennai, TN"
VBC solitaire,,,,,,"Bazullah Road, Chennai, 601204",IT / Tech,OpenStreetMap,"osm/node/10594467605 | Chennai, TN"
Qube Cinema Technologies,,,,,,"42, Doctor Ranga Road, Chennai, 600004",IT / Tech,OpenStreetMap,"osm/node/11107521906 | Chennai, TN"
TVH Agnitio Park,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/11226824437 | Chennai, TN"
Utimax Industrial Solutions Pvt Ltd,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/11508076589 | Chennai, TN"
G.R. Construction Labour Union,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/11690043769 | Chennai, TN"
Kappa Current Technology,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/11690043969 | Chennai, TN"
Magnific Builders & Interiors,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/11699797370 | Chennai, TN"
Penthouse.in,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/11699821669 | Chennai, TN"
Stats Perform India Pvt Ltd - ஸ்டேட்ஸ் பெர்பார்ம் இந்தியா ப்வ்ட் லட,,,,,https://www.statsperform.com/,"Madhar Sha Tower, Anna Salai, Thousand Lights East, Chennai, 600006",IT / Tech,OpenStreetMap,"osm/node/11703392922 | Chennai, TN"
Fits Air,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/11834594625 | Chennai, TN"
MPM Tech Solutions,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/11932106269 | Chennai, TN"
Inoesis,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/12517626401 | Chennai, TN"
Earthana,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/12517652001 | Chennai, TN"
Layotos Technologies Pvt LTD,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/12517830801 | Chennai, TN"
Yash Infosytems,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/12517830901 | Chennai, TN"
L.A.S Tower,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/12718033101 | Chennai, TN"
Bahwan Cybertek Pvt. Ltd.,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/12721828629 | Chennai, TN"
New Designer Web,,,,,https://designerweb.in/,"185, 1st Main Road, Chennai, 600096",IT / Tech,OpenStreetMap,"osm/node/12831616701 | Chennai, TN"
Gateway Office Parks,,,,enquiry@x-officeparks.com,https://x-officeparks.com/gateway-office-park-2/,"Grand Southern Trunk Road, Chennai",IT / Tech,OpenStreetMap,"osm/node/13011503001 | Chennai, TN"
Accenture,,,,,https://www.accenture.com/in-en,"Grand Southern Trunk Road, Chennai",IT / Tech,OpenStreetMap,"osm/node/13011515701 | Chennai, TN"
Central Warehousing Corporation Regional Office,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/13041279865 | Chennai, TN"
Kiran Packaging,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/node/13154785802 | Chennai, TN"
Zilogic Systems Private Limited (Block III),,,,,,"I/16, 2nd Floor, Ragula Tech Park, Dr. VSI Estate, Tharamani, 600041",IT / Tech,OpenStreetMap,"osm/node/13253945580 | Chennai, TN"
Sterling Software Pvt Ltd,,,,,https://sterlingsoftware.global,"CSIR road, Chennai, 600113",IT / Tech,OpenStreetMap,"osm/node/13439114501 | Chennai, TN"
L&T Shipbuilding,,,,,,"Mount - Poonamallee - Avadi Road, Chennai",IT / Tech,OpenStreetMap,"osm/node/13461588601 | Chennai, TN"
Cafeteria Block,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/way/95772165 | Chennai, TN"
SDB-2,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/way/95772166 | Chennai, TN"
SDB-3,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/way/95772167 | Chennai, TN"
SDB-4,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/way/95772168 | Chennai, TN"
SDB-1,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/way/95772170 | Chennai, TN"
Computer Science Corporation (CSC),,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/way/96687171 | Chennai, TN"
Vijaya Garments,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/way/96792786 | Chennai, TN"
TVH Realtors,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/way/158076074 | Chennai, TN"
Sedin Technologies Dev Center,,,,,,"40, Kamatchi Puram 2nd Street, Chennai, 600033",IT / Tech,OpenStreetMap,"osm/way/354832341 | Chennai, TN"
Microchip Technology India,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/way/1067182714 | Chennai, TN"
Ragula Tech Park,,,,,,"OMR Service Road, Phase 1, Vikram Sarabhai Instronics Estate,, Tharamani, 600041",IT / Tech,OpenStreetMap,"osm/way/1444480046 | Chennai, TN"
FLSmidth,,,,,,Chennai,IT / Tech,OpenStreetMap,"osm/relation/5310688 | Chennai, TN"
Bosch,,,,,,"Vilankuruchi Road, Coimbatore",IT / Tech,OpenStreetMap,"osm/node/2590582994 | Coimbatore, TN"
KT Telematic Solutions Pvt Ltd,,,,,,"1020, Avinashi Road, Coimbatore, 641018",IT / Tech,OpenStreetMap,"osm/node/5752357089 | Coimbatore, TN"
Shriasys,,,,,https://shriasys.com,"304, G.V. Residency, Coimbatore, 641028",IT / Tech,OpenStreetMap,"osm/node/12425496319 | Coimbatore, TN"
LTI Mind Tree,,,,,,Coimbatore,IT / Tech,OpenStreetMap,"osm/node/13249353725 | Coimbatore, TN"
White Data Systems Pvt Ltd,,,,,http://www.iloads.in/,"E, Cross Cut Road, கோயம்புத்தூர், 641009",IT / Tech,OpenStreetMap,"osm/way/1240248298 | Coimbatore, TN"
Owler Inc,,,,,,Coimbatore,IT / Tech,OpenStreetMap,"osm/node/2423942726 | Coimbatore, TN"
Panchayath Office,,,,,,"Ganapathy - Athipalayam Road, Coimbatore, 641006",IT / Tech,OpenStreetMap,"osm/way/171862098 | Coimbatore, TN"
The Hindu,,,,,,Coimbatore,IT / Tech,OpenStreetMap,"osm/way/196972902 | Coimbatore, TN"
NISHTA SOLUTIONS,,,,,,"NISHTA SOLUTIONS, Coimbatore, 641004",IT / Tech,OpenStreetMap,"osm/way/1248291747 | Coimbatore, TN"
Pricol Technologies,,,,,,"1065, Tiruchi Road, Coimbatore, 641045",IT / Tech,OpenStreetMap,"osm/node/3204361326 | Coimbatore, TN"
Lifespring Healthplus India Private Limited,,,,,,Coimbatore,IT / Tech,OpenStreetMap,"osm/node/4603303889 | Coimbatore, TN"
MRC Metals,,,,,,"Thondamuthur Main road, Coimbatore",IT / Tech,OpenStreetMap,"osm/node/5051604721 | Coimbatore, TN"
Cameron,,,,,,Coimbatore,IT / Tech,OpenStreetMap,"osm/node/5053436622 | Coimbatore, TN"
NEXT Techno Enterprises Pvt. Ltd,,,,,,"Module No: 308/1,Third Floor, Vilankuruchi Road, Coimbatore, 641014",IT / Tech,OpenStreetMap,"osm/node/5444486062 | Coimbatore, TN"
Devi laksmi industries manufactruing unit,,,,,,Coimbatore,IT / Tech,OpenStreetMap,"osm/node/6345456585 | Coimbatore, TN"
Vriksha Agro Ventures,,,,,https://www.vrikshaagro.com/,"No 226, first floor, Mettupalayam Road, Coimbatore, 641043",IT / Tech,OpenStreetMap,"osm/node/7869215820 | Coimbatore, TN"
Sampoorna Industries,,,,,,Coimbatore,IT / Tech,OpenStreetMap,"osm/node/7967908885 | Coimbatore, TN"
GKS Cotton Chambers,,,,,,Coimbatore,IT / Tech,OpenStreetMap,"osm/node/8084466330 | Coimbatore, TN"
Atom8 IT solutions P Ltd,,,,,,Coimbatore,IT / Tech,OpenStreetMap,"osm/node/10289023512 | Coimbatore, TN"
Indsys Holdings India Private Limited,,,,,,"6/1 Vyshnavi Complex, Ranga Konar Street, Coimbatore, 641009",IT / Tech,OpenStreetMap,"osm/node/12058688348 | Coimbatore, TN"
Ampere Vehicles private Limited Unit 2 (R&D),,,,,https://ampere.greaveselectricmobility.com/,Coimbatore,IT / Tech,OpenStreetMap,"osm/node/12067835122 | Coimbatore, TN"
Wintel Media Unit 1,,,,,https://www.wintelmedia.com,"Oorgounder Street,, Coimbatore, 641112",IT / Tech,OpenStreetMap,"osm/node/12402796111 | Coimbatore, TN"
Signatures Designs and Communications Private Limited,,,,brand@signatures1.com,https://signatures1.com/,"186, Thirugnanasambandam Road, Coimbatore, 641018",IT / Tech,OpenStreetMap,"osm/node/13202052215 | Coimbatore, TN"
Professional Courier,,,,,,"Avinashi Road, Coimbatore",IT / Tech,OpenStreetMap,"osm/way/1248001278 | Coimbatore, TN"
Salt,,,,,,Thoothukudi,IT / Tech,OpenStreetMap,"osm/node/7516300774 | Thoothukudi, TN"
Aptean India,,,,,,"TCE Road, Madurai, Madurai",IT / Tech,OpenStreetMap,"osm/node/11162257905 | Madurai, TN"
Sri Murugan Soap Works,,,,,,"Navarathinapuram, Madurai, Tamil Nadu 625009, Madurai",IT / Tech,OpenStreetMap,"osm/node/11945127542 | Madurai, TN"
"F.Robin Technologies - PCB Designing, Fabrication & Assembly Services",,,,,https://frobintech.com/,"8, 120 Feet Road, Surveyor Colony, Madurai, Tamil Nadu., Madurai, 625007",IT / Tech,OpenStreetMap,"osm/node/13476400001 | Madurai, TN"
